age,predicted brain age,predicted brain age_adjusted
6.664,7.429026423,4.916839335
5.9,6.665340148,3.966083662
7.958,10.89490829,8.699563879
9.231,9.996277534,8.11263383
8.164,7.401086768,5.25618253
8.887,8.120456953,6.152583048
7.604,7.460780366,5.178757197
9.033,9.79953739,7.86741235
6.363,6.354429602,3.768541089
9.529,10.29571745,8.485040605
7.24,8.004794482,5.633644008
8.15,8.911957908,6.763625697
8.57,9.332829604,7.28733659
9,8.911957908,6.971752645
9.54,10.03609356,8.228110127
9.19,9.953912808,8.060230039
9.48,8.713696332,6.891021581
5.887,6.653085384,3.950645779
7.109,7.874485353,5.471258843
8.556164384,7.793422112,5.744541376
9.578082192,10.5546228,8.755963984
8.024657534,8.675212627,6.496189657
9.750684932,13.01507625,11.25868012
8.619178082,9.381348959,7.347897456
9.619178082,8.852544745,7.063948476
9.471232877,11.9313973,10.10657588
9.021917808,9.788243277,7.853404704
9.117808219,9.608100235,7.696740931
9.64109589,8.873871331,7.090641752
8.331506849,9.096528077,6.992638767
9.375342466,9.393517483,7.545216787
9.405479452,9.746875321,7.905953824
9.295890411,9.203721854,7.335966907
9.309589041,10.07523082,8.210830056
8.942465753,8.176060466,6.221767642
9.652054795,9.320004759,7.539458525
8.068493151,8.834635537,6.666345947
8.594520548,9.35838237,7.318893341
8.178082192,8.942426647,6.800970508
9.268493151,10.03435493,8.159891621
9.435616438,10.20097508,8.36743278
8.471232877,9.511986115,7.442309455
8.821917808,9.5882781,7.60446848
9.808219178,9.045985298,7.303676731
8.854794521,9.621050334,7.64529075
8.64109589,9.405038706,7.376953894
9.61369863,10.37764425,8.587706312
9.167123288,9.93354547,8.034261219
9.564383562,8.798815771,6.996802777
9.136986301,8.371507497,6.464844047
9.860273973,10.62536536,8.895802684
9.156164384,9.921418347,8.019450751
8.060273973,8.825919671,6.655617572
9.208219178,9.973538104,8.084316397
8.898630137,9.664759401,7.699733197
9.632876712,10.39811311,8.612871023
9.897,10.66217736,8.941607244
8.837782,8.071752715,6.091827526
8.898015,8.133896272,6.168719448
9.935661,9.169727746,7.458623976
9.034908,9.799624735,7.867966879
7.126626,7.891881375,5.492970684
9.374401,10.13903574,8.29050452
8.380561,9.145054129,7.053175986
9.229295,9.993838814,8.109777632
8.375086,7.916389516,5.823170789
8.276523,8.610422959,6.493070567
8.542094,9.307427497,7.255101553
6.685832,6.937547287,4.430705878
8.396988,7.632871999,5.545016092
7.989049,7.222130592,5.034388686
7.326489,7.937514474,5.587541285
8.19165,8.464236538,6.326102547
8.1013,8.797195246,6.636938584
8.15332,9.701055799,7.553536507
8.062971,8.825243993,6.655602275
6.329911,7.095018833,4.501028305
7.129363,7.891545024,5.493304501
9,12.71168528,10.77148002
8.26,9.02740178,6.906003644
7.74,8.507347455,6.258624598
9.35,10.11600529,8.261499355
7.19,7.351125987,4.967732752
9.53,10.29411642,8.483684428
9.33,10.09606496,8.236661919
9.17,8.406624351,6.508044478
8.92,11.74164127,9.781847592
8.5,9.264793753,7.202160873
9.75,10.29463624,8.538072405
9.33,8.564832724,6.705429688
7.29,8.051946893,5.693039181
9.12,9.878049148,7.967226514
8.08,14.42676952,12.26129744
8.59,9.352734845,7.312138936
